,,,,,,,,,,,,,,,,,,,,,,,,,,,Prereq's,150 min. 
WFM Ent,QM 
Trans bot (speech),Non Speech Customers,Rec +
voice capture,Saas has Voice Capture,includes Trans,requires trans,requires trans
"Motorola Solutions, Inc.","Chevron U.S.A Inc., acting through its Chevron Products Company division",Under 150,,77,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Boca Raton Regional Hospital,Under 150,,76,Term,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,9120,9120
Avaya LLC,Ascension Health,Under 150,,76,Term,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,9120,9120
"ISI Telemanagement Solutions, LLC",Tri-County Technical College,Under 150,,76,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Hendrick Hudson School District,Under 150,,76,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",United Heritage Insurance,Under 150,,76,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,,,0,,,,,,,,,0
"NTT America, Inc.",Intermountain Healthcare (IHC),Under 150,,76,Term,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,,,0,,,,,,,,4080,4080
"Capture Technologies, Inc.",Naval Surface Warfare Center,Under 150,,76,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",Capital District Transportation Authority (CDTA),Under 150,,76,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,,,0,,,,,,,,,0
Vonage Business Limited,"RegaloRx, Inc.",Under 150,,76,SaaS,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,AAA East Central,Under 150,,75,Perpetual,0,0,0,0,0,0,75,0,75,0,0,0,0,0,0,0,0,0,0,0,,,18000,,,,,,,,,18000
"ISI Telemanagement Solutions, LLC","Associated Wholesale Grocers, Inc.",Under 150,,75,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,,,0,,,,,,,,,0
"Edge Communications Solutions, LLC",Norfolk Southern Corporation,Under 150,,75,Term,0,75,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,18000,9000,,,,,,9000,36000
"Motorola Solutions, Inc.",Regional Emergency Dispatch Authority,Under 150,,75,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,,,0,,,,,,,,,0
"8X8, Inc.","Go Wireless, Inc.",Under 150,,75,SaaS,0,0,0,75,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,,,0,18000,9000,,,,,,,27000
Avaya LLC,Florida Department of Education,Under 150,,74,Term,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,8880,8880
Avaya LLC,Pocono Medical Center,Under 150,,74,Perpetual,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,8880,8880
Sound Communications Inc.,Preston 9-1-1,Under 150,,74,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Allina Health,Under 150,,74,Perpetual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Saint Louis Fire Department,Under 150,,74,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,,,0,,,,,,,,,0
BusComm Incorporated,Saint Louis Fire Department,Under 150,,74,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,,,0,,,,,,,,,0
Sound Communications Inc.,"Dominion Energy Services, Inc.",Under 150,,73,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Sandoval County,Under 150,,73,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",Queen Anne's County Department of Emergency Services,Under 150,,73,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Pennsylvania One Call System,Under 150,,72,Term,0,30,0,0,0,72,0,0,0,72,0,0,72,0,0,0,0,0,0,0,,,0,,,,,,,,3600,3600
"ISI Telemanagement Solutions, LLC","ABB, INC",Under 150,,72,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Farmers Bank and Trust,Under 150,,72,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",Campbell County Consolidated Dispatch,Under 150,,72,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,,,0,,,,,,,,,0
Vonage Business Limited,Newport Healthcare,Under 150,,72,SaaS,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",BC Transit,Under 150,,71,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",New Enterprise Stone and Lime Co Inc.,Under 150,,71,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,,,0,,,,,,,,,0
"Replay Systems, Inc.",West Palm Beach Public Utilities,Under 150,,71,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,,,0,,,,,,,,,0
"Capture Technologies, Inc.",Heartland Fire Communications,Under 150,,71,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Washington Gas Light Company,Under 150,,70,Term,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,8400,8400
"ISI Telemanagement Solutions, LLC","City of Midlothian, Texas",Under 150,,70,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,,,0,,,,,,,,,0
"Replay Systems, Inc.",West Palm Beach PD,Under 150,,70,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,,,0,,,,,,,,,0
Vonage Business Limited,Health Network Laboratories,Under 150,,70,SaaS,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Vonage Business Limited,"Eleanor Health, Inc.",Under 150,,69,SaaS,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"8X8, Inc.","Casey's General Stores, Inc.",Under 150,,69,SaaS,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"Replay Systems, Inc.",Delray Beach PD,Under 150,,68,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,,,0,,,,,,,,,0
"World Wide Technology, Inc.","Macy's Credit and Customer Services, Inc. f/k/a FACS Group, Inc.",Under 150,,66,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Euronet Worldwide Inc,Under 150,,66,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,,,0,,,,,,,,,0
Carousel Industries of North America,Teleflex Incorporated,Under 150,,65,Perpetual,0,65,0,65,0,65,65,0,65,0,0,0,0,0,0,0,0,0,0,0,,,15600,15600,7800,,,,,,7800,46800
WTI Holdings LLC dba Waterfield Technologies,Northridge,Under 150,,65,Perpetual,0,0,0,65,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,240,15600,7800,,,,,,,23640
"ISI Telemanagement Solutions, LLC",Southeast Alabama Medical Center,Under 150,,65,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Benton PUD,Under 150,,65,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",FHLBank Topeka,Under 150,,65,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,,,0,,,,,,,,,0
"Talkdesk, Inc.",2U Inc,Under 150,,65,SaaS,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Arrias Technical Solutions Inc.,City of Oshawa,Under 150,,65,Perpetual,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,65,0,0,0,,,0,,,,,,,,,0
Vonage Business Limited,Metabolic Living,Under 150,,65,SaaS,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Kova Corporation,Delaware River & Bay Authority (DRBA),Under 150,,64,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC","Archrock Services, L.P.",Under 150,,64,SaaS,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,15360,7680,,,,,,,23040
"Goserco, Inc.",Goodyear Police Department,Under 150,,64,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,,,0,,,,,,,,,0
"BEI Holdings, Inc. (DBA: Business Electronics)","MASCO Services, Inc",Under 150,,63,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,,,0,,,,,,,,,0
"Capture Technologies, Inc.",J Paul Getty Trust,Under 150,,63,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",Preston 9-1-1,Under 150,,63,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,,,0,,,,,,,,,0
Vonage Business Limited,SEIU,Under 150,,63,SaaS,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"BEI Holdings, Inc. (DBA: Business Electronics)",New Haven Public Safety,Under 150,,62,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,,,0,,,,,,,,,0
Evolve IP LLC,Mister Car Wash,Under 150,,62,SaaS,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",Catoosa County GA E911,Under 150,,62,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",Memphis Shelby International Airport,Under 150,,62,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,,,0,,,,,,,,,0
Kova Corporation,Dixie Electric Membership Corp,Under 150,,61,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,,,0,,,,,,,,,0
"IPC Systems, Inc.",California ISO,Under 150,,61,Perpetual,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,7320,7320
"ISI Telemanagement Solutions, LLC",City County IT Commission- Wausau Wisconsin,Under 150,,61,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",County of Sussex Prosecutor's Office,Under 150,,61,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Mille Lacs County Sheriff,Under 150,,61,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,,,0,,,,,,,,,0
Avaya LLC,New York City Transit Authority,Under 150,,60,Term,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,7200,7200
Avaya LLC,Veterinary Pet Insurance,Under 150,,60,Term,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,7200,7200
Avaya LLC,US Geological Survey National Mapping WIT,Under 150,,60,Term,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,7200,7200
Avaya LLC,FAA OKC,Under 150,,60,Term,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,7200,7200
Avaya LLC,CCSF / Laguna Honda Hospital,Under 150,,60,Perpetual,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,7200,7200
Avaya LLC,"General Mills, Inc.",Under 150,,60,Term,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,7200,7200
Avaya LLC,One Call Care Management Inc,Under 150,,60,Perpetual,0,60,0,60,60,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,7200,7200
WTI Holdings LLC dba Waterfield Technologies,Dlivrd,Under 150,,60,SaaS,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,,,14400,,,,,,,,,14400
"ISI Telemanagement Solutions, LLC",Camden National Corporation,Under 150,,60,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC","NCCI Holdings, Inc.",Under 150,,60,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Hendricks Regional Health,Under 150,,60,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,,,0,,,,,,,,,0
"NTT America, Inc.","American Honda Motor Co., Inc.",Under 150,,60,Perpetual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",City of Washington Police Department,Under 150,,60,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,,,0,,,,,,,,,0
BusComm Incorporated,City of Washington Police Department,Under 150,,60,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,,,0,,,,,,,,,0
Black Box Network Services,Dixie Electric Membership Corp,Under 150,,60,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,,,0,,,,,,,,,0
Wilmac Business Equipment Company Inc.,Reliant Community Federal Credit Union,Under 150,,60,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,,,0,,,,,,,,,0
Genworth North America Corporation,CareScout LLC,Under 150,,60,Term,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",Ellis County TX,Under 150,,60,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,,,0,,,,,,,,,0
Vonage Business Limited,"Royal Canin USA, Inc.",Under 150,,60,SaaS,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Vonage Business Limited,ACS Technologies,Under 150,,60,SaaS,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Sound Communications Inc.,Columbus Regional Airport Authority,Under 150,,59,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Bridge City Independent School District,Under 150,,58,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Rochester Police 911,Under 150,,58,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,,,0,,,,,,,,,0
Sound Communications Inc.,Gordon County E911,Under 150,,57,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Spokane Transit Authority,Under 150,,57,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,,,0,,,,,,,,,0
"IPC Systems, Inc.",Xcel Energy,Under 150,,56,SaaS,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",County of Sussex Sheriff's Dept,Under 150,,56,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,,,0,,,,,,,,,0
Vista Com,Ponca City Public Safety Communications,Under 150,,56,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,,,0,,,,,,,,,0
Avaya LLC,ADS Security,Under 150,,55,Term,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,6600,6600
"ConvergeOne, Inc",Madison Gas & Electric Company,Under 150,,55,Perpetual,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13200,,,,,,,,,13200
"ISI Telemanagement Solutions, LLC",Grapevine Colleyville Independent School District,Under 150,,55,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,,,0,,,,,,,,,0
Vonage Business Limited,Deciem Beauty Group Inc,Under 150,,55,SaaS,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,North Shore University Health System,Under 150,,54,Term,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,6480,6480
Avaya LLC,El Paso First Health Plans Inc.,Under 150,,54,Term,0,12,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,,,0,,,,,,,,1440,1440
TOS,City of Oshawa,Under 150,,54,Perpetual,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,54,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",PBF Energy,Under 150,,54,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Sprague Operating Resources,Under 150,,53,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",City of Madison,Under 150,,53,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,,,0,,,,,,,,,0
May Day Communications Inc.,East Hampton Town Police Department,Under 150,,52,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Crow Wing County Sheriff,Under 150,,52,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",Shell Deer Park,Under 150,,52,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",US Department of Homeland Security (FEMA),Under 150,,52,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",Salisbury MD Police Department,Under 150,,52,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,,,0,,,,,,,,,0
"World Wide Technology, Inc.",Altus AFB,Under 150,,51,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Franklin Pud,Under 150,,51,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",The Denver Hospice,Under 150,,51,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",McLeod County,Under 150,,51,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,,,0,,,,,,,,,0
Evolve IP LLC,"The Energy Federation, Inc.",Under 150,,51,SaaS,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Community Hospital,Under 150,,50,Perpetual,0,50,0,50,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,6000,6000
Avaya LLC,Northern Montana Hospital - Corporate Account,Under 150,,50,Perpetual,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,6000,6000
Avaya LLC,"Retail Finance International Holdings, Inc. (RFIH)",Under 150,,50,Term,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,MARRIOTT INTERNATIONAL,Under 150,,50,Term,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,The Fairfield County Board of Count,Under 150,,50,SaaS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"Cisco Systems, Inc.",The Aerospace Corporation,Under 150,,50,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,,,0,,,,,,,,,0
BT Americas Inc.,New York Stock Exchange,Under 150,,50,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,,,0,,,,,,,,,0
Sound Communications Inc.,Preble County Sheriff,Under 150,,50,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,,,0,,,,,,,,,0
"IPC Systems, Inc.",The Bank of New York Mellon f/k/a Mellon Bank,Under 150,,50,Perpetual,0,40,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,,,0,,,,,,,,4800,4800
"ISI Telemanagement Solutions, LLC",Town of Gilbert,Under 150,,50,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Pella Regional Health Center,Under 150,,50,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Samaritan Healthcare,Under 150,,50,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",State of Idaho,Under 150,,50,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",M Health Fairview,Under 150,,50,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,,,0,,,,,,,,,0
"Capture Technologies, Inc.",Barstow Police Department,Under 150,,50,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,,,0,,,,,,,,,0
Vonage Business Limited,"Infusion Software, Inc",Under 150,,50,SaaS,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"8X8, Inc.",AIDS Healthcare Foundation,Under 150,,50,SaaS,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,,,0,12000,6000,,,,,,,18000
"8X8, Inc.",HealthEZ,Under 150,,50,SaaS,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Sound Communications Inc.,"Nashville Electric - Nashville, TN",Under 150,,49,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,,,0,,,,,,,,,0
Kova Corporation,Cohoes Police Department,Under 150,,49,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,,,0,,,,,,,,,0
"8X8, Inc.","Gem Plumbing & Heating Services, LLC",Under 150,,49,SaaS,0,0,0,49,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,,,0,11760,5880,,,,,,,17640
"Motorola Solutions, Inc.",Borough of Roselle,Under 150,,48,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,,,0,,,,,,,,,0
Vonage Business Limited,Reckitt Benckiser (RB) US,Under 150,,48,SaaS,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"8X8, Inc.",LGM Financial Services Inc,Under 150,,48,SaaS,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",F-M Ambulance Service (Sanford Health),Under 150,,47,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Florida Dept Law Enforcement-Hayes,Under 150,,46,Term,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,5520,5520
"ConvergeOne, Inc",University of Utah,Under 150,,46,Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,,,0,,,,,,,,,0
"BEI Holdings, Inc. (DBA: Business Electronics)",Hunters Ambulance Service Inc.,Under 150,,46,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Belhaven College,Under 150,,46,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,,,0,,,,,,,,,0
BT Americas Inc.,Fidelity Investments,Under 150,,45,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,,,0,,,,,,,,,0
WTI Holdings LLC dba Waterfield Technologies,Madison Gas & Electric Company,Under 150,,45,Perpetual,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,10800,,,,,,,,,10800
"World Wide Technology, Inc.",University of Missouri,Under 150,,45,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Southwest Medical Center,Under 150,,45,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,,,0,,,,,,,,,0
