,,,,,,,,,,,,,,,,,,,,,,,,,,,Prereq's,150 min. 
WFM Ent,QM 
Trans bot (speech),Non Speech Customers,Rec +
voice capture,Saas has Voice Capture,includes Trans,requires trans,requires trans
Servion Global Solutions Inc,Costco Wholesale Corporation,5000-9999,,9969,SaaS,2292,9969,0,9967,9967,9967,9967,0,9967,9969,0,0,2380,0,0,0,0,0,0,0,,,2392080,,,6220656,,,,,,8612736
Servion Global Solutions Inc,Propharma Group LLC,500-1999,x,950,SaaS,0,750,0,750,750,0,750,0,950,0,0,0,0,0,0,0,0,0,0,0,,,180000,,,468000,96000,360000,147750,,,1251750
Servion Global Solutions Inc,Mount Sinai Medical Center,500-1999,x,730,Term,0,601,0,604,0,0,595,0,595,730,0,0,0,0,0,0,0,0,0,0,,,142800,144960,,375024,76928,288480,118397,,72120,1218709
Servion Global Solutions Inc,"Hinge Health, Inc.",500-1999,x,610,SaaS,610,610,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,146400,73200,380640,,,,,,600240
SHI International Corp,Idaho Department of Health and Welfare,500-1999,x,564,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,0,0,0,0,0,,,0,,,,,,,,,0
SimComm Pte Ltd,Cognizant Technical Solutions,5000-9999,x,5175,Perpetual,0,5175,0,150,0,0,0,0,600,600,0,0,0,0,0,0,0,0,0,0,,,0,36000,,3229200,662400,2484000,1019475,,621000,8052075
Sound Communications Inc.,Duke Energy Corporation,2000-4999,,3301,SaaS,3300,3300,1,3301,660,3300,301,0,1,3300,0,660,0,0,0,0,1869,0,0,0,,,72240,,,2059200,,,,,,2131440
Sound Communications Inc.,First Energy Corporation,2000-4999,,2191,Perpetual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2191,0,0,0,,,0,,,,,,,,,0
Sound Communications Inc.,Clayton Homes,500-1999,,1155,Term,0,1155,0,1155,0,36,0,0,1155,700,0,0,0,0,0,0,0,0,0,0,,,0,277200,,720720,147840,554400,227535,,138600,2066295
Sound Communications Inc.,City of Columbus OH,500-1999,,1122,Perpetual,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,1122,0,0,0,,,0,,,,,,,,,0
Sound Communications Inc.,United Parcel Service (UPS),500-1999,,1102,Perpetual,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,0,0,0,,,0,,,,,,,,,0
Sound Communications Inc.,Federal Express,500-1999,,750,Term,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,468000,96000,360000,147750,450000,90000,1611750
Sound Communications Inc.,Warren County OH,500-1999,,643,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,0,0,0,,,0,,,,,,,,,0
Sound Communications Inc.,KUB,500-1999,,533,SaaS,0,0,0,0,0,40,0,16,0,16,0,0,0,0,0,0,533,0,0,0,,,0,,,,,,,,,0
SPAR Solutions LLC,American Credit Acceptance,500-1999,,940,SaaS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,,,0,,,,,,,,,0
"Talkdesk, Inc.",Freedom Care LLC,500-1999,,791,SaaS,0,0,0,0,0,0,791,0,0,0,0,0,0,0,0,0,0,0,0,0,,,189840,,,,,,,,,189840
TELUS,La Capitale,2000-4999,,2201,Perpetual,0,1100,2201,1100,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,,,0,264000,132000,686400,140800,528000,216700,660000,,2627900
TELUS,"Telus International (CDA), Inc.",500-1999,,720,Term,0,720,720,720,0,0,720,0,720,720,0,0,0,0,0,0,0,0,0,0,,,172800,172800,,449280,92160,345600,141840,,,1374480
TELUS,Lussier Cabinet De Services Financiers Inc.,500-1999,,585,Perpetual,0,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,365040,74880,280800,115245,351000,70200,1257165
Tenerity,Trilegiant Corporation,500-1999,,1000,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,,,0,,,,,,,,,0
TTEC Services Corporation,The Cleveland Clinic Foundation,500-1999,,1705,Term,0,1705,1105,1100,0,400,1200,0,1100,1100,0,0,0,0,0,0,0,0,0,0,,,288000,264000,,1063920,218240,818400,335885,,,2988445
TTEC Services Corporation,US Navysparwarsyscen,500-1999,,1390,Perpetual,0,0,1390,0,0,0,2,0,2,1390,0,0,0,0,0,0,0,0,0,0,,,480,,,,,,,,,480
TTEC Services Corporation,Los Angeles Dept. Water & Power,500-1999,,1200,Perpetual,0,1200,0,1200,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,,,0,288000,144000,748800,153600,576000,236400,720000,144000,3010800
TTEC Services Corporation,Army & Air Force Exchange Services (AAFES),500-1999,,1060,Term,0,1060,1,530,355,355,530,0,530,740,0,0,0,0,0,0,0,0,0,0,,,127200,,,661440,135680,508800,208820,,,1641940
