account,full_name,title,linkedin_url
Centene,Colleen Askvig,Chief Operating Officer (plan level; corporate COO is Susan Smith),https://www.linkedin.com/in/colleen-askvig-5b11b38/
Centene,Jackie Shearer-Adams,Vice President of Operations,https://www.linkedin.com/in/jackie-shearer-adams-578b99121/
Centene,Peter P.,Vice President Operations,https://www.linkedin.com/in/peter-perez293/
Centene,Justin Hedrick,"Vice President, Operations and System Integration",https://www.linkedin.com/in/justinhedrick/
Centene,Corey J. T.,"Vice President Health Plan Operations, Carolina Complete Health",https://www.linkedin.com/in/coreytaliaferromba/
Centene,Luke Lovgren,"Vice President, CHO Business Operations",https://www.linkedin.com/in/luke-lovgren-aaa23a4/
Centene,Jason Bollent,Vice President Operations,https://www.linkedin.com/in/jason-bollent-a012104/
Centene,Dr. Tanea Young,Vice President Quality and Process Improvement,https://www.linkedin.com/in/dr-tanea-young-9b0b2764/
Centene,"Binu Jain (M.S., MBA, PMP)","Vice President, Operations - Sunshine Health",https://www.linkedin.com/in/binu-jain-m-s-mba-pmp-a9a6926/
Centene,Brian Webber,Vice President Operations,https://www.linkedin.com/in/brian-webber-6289b026/
Centene,Ben Moran,Vice President Operations,https://www.linkedin.com/in/ben-moran-106a20/
Centene,Denny Henson,Vice President Operations,https://www.linkedin.com/in/denny-henson-aaa06a9/
Centene,Brian Ferguson,"Vice President, Operations",https://www.linkedin.com/in/bdferg/
Centene,Jean-Lucien 'JL' Rudaz,Vice President Quality & Process Improvement,https://www.linkedin.com/in/jean-lucien-jl-rudaz-34b50162/
Centene,Angel Johnson,Vice President of Quality & Process Improvement,https://www.linkedin.com/in/angel-johnson-5238421a1/
Centene,Cathie Krueger,VP of Utilization Management,https://www.linkedin.com/in/cathie-krueger-b4110830/
Centene,Lindsey Hanson,Vice President Medicaid Market Operations & Performance,https://www.linkedin.com/in/lindsey-hanson-5703b3a1/
Centene,Cory Levine,"Staff Vice President, Digital Operations",https://www.linkedin.com/in/cory-levine-378a8031/
Centene,Mika Runyan,Vice President Payment Integrity,https://www.linkedin.com/in/mika-runyan-01456a19b/
Centene,Kirsty Bloom,"Vice President, Operations",https://www.linkedin.com/in/kirsty-bloom-ab30712/
Centene,Cal Williams MBA,Vice President Operations - Complex Care Medicaid Programs,https://www.linkedin.com/in/cal-williams-mba-1693b9a/
Centene,"Rebecca Anderson, M.A.",Vice President Operations Issue Resolution & Service Quality,https://www.linkedin.com/in/rebecca-anderson-m-a-29198311/
Centene,Carmin Pruitt,Vice President Medical Affairs Operations,https://www.linkedin.com/in/carmin-pruitt-a594a068/
Centene,Joel Davis,VP Flight Operations,https://www.linkedin.com/in/joel-davis-a3431013/
Centene,Maria Ray,Vice President Business Operations,https://www.linkedin.com/in/maria-ray-1725063/
Centene,Nicole Wobbe,Vice President Operations,https://www.linkedin.com/in/nicole-wobbe-64826a215/
Centene,Jennifer Drexinger,Vice President Operations,https://www.linkedin.com/in/jenniferdrexinger/
Centene,Justin Lazier,"Staff Vice President, Product Operations",https://www.linkedin.com/in/justin-lazier-83b44021/
Centene,Nick Luoma,Head of Operations Enablement,https://www.linkedin.com/in/nickluoma/
Centene,Alicia Baker,"Vice President, Operations",https://www.linkedin.com/in/abaker57/
Centene,Jill Sax,"Vice President, Operations Ambetter Health",https://www.linkedin.com/in/jill-sax-a532518/
Centene,Jennifer Haley,Vice President Operations,https://www.linkedin.com/in/jennifer-haley-40495365/
