contract_id,parent_org,marketing_name,members,overall_star_2026,cs_star,clin_star,gross_forgone_qbp_musd,addressable_forgone_qbp_musd,addressable_pct,confidence,primary_sources
H8211,"UnitedHealth Group, Inc.",UnitedHealthcare,17153,3,3.7,2.3,17.6,2.9,0.17,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H8597,CVS Health Corporation,Aetna Medicare,14486,3.5,3.4,3.2,7.1,2.9,0.41,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H9207,Thomas Jefferson University,Jefferson Health Plans,25870,3.5,3.8,3.2,12.6,2.9,0.23,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H2819,California Physicians' Service,Blue Shield of California,14956,3.5,3.6,3.4,7.3,2.8,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H4544,"UnitedHealth Group, Inc.",Peoples Health,8883,2.5,3.3,2.4,9.1,2.8,0.31,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H8854,"CareFirst, Inc.",CareFirst BlueCross BlueShield Medicare Advantage,8387,3,3.3,2.5,8.6,2.8,0.32,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H1423,"Elevance Health, Inc.",Wellpoint,3956,3,2.7,3.3,4.1,2.7,0.67,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H2486,Humana Inc.,Humana,4123,3,3.0,3.5,4.2,2.7,0.65,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5843,Banner Health,Banner Medicare Advantage,7436,3.5,3.0,3.6,3.6,2.7,0.74,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H9706,Health Care Service Corporation,Blue Cross and Blue Shield of Texas,6144,2.5,3.1,2.7,6.3,2.7,0.42,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H4704,"Elevance Health, Inc.",Anthem Blue Cross Life and Health Insurance Compan,8227,2.5,3.1,1.9,8.5,2.6,0.31,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H9231,"Devoted Health, Inc.",Devoted Health,7658,3.5,2.9,3.4,3.7,2.5,0.66,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3890,Johns Hopkins Healthcare LLC,Johns Hopkins Advantage MD,6849,3,3.5,3.1,7.0,2.4,0.34,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
