account_name,vertical,industry_raw,bo_priority,primary_function,product_angle,personas,contact_cap,universe,install_base,fo_risk_flag,owner_cleared,total_licenses,active_customer_date,source,sourced_date
Baylor Scott & White Health,Healthcare Provider,Healthcare Provider,2,RCM / Medical coding / Patient scheduling / Billing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,,,SF Active Customers Jul10,2026-07-13
Cleveland Clinic,Healthcare Provider,Healthcare Provider,2,RCM / Medical coding / Patient scheduling / Billing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,,6/30/2022,SF Active Customers Jul10,2026-07-13
Evolent,Healthcare Provider,Healthcare Provider,2,RCM / Medical coding / Patient scheduling / Billing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,,,SF Active Customers Jul10,2026-07-13
Kaiser CO Clinical,Healthcare Provider,Healthcare Provider,2,RCM / Medical coding / Patient scheduling / Billing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,480,9/15/2000,SF Active Customers Jul10,2026-07-13
Kaiser GA Clinical (ASCC),Healthcare Provider,Healthcare Provider,2,RCM / Medical coding / Patient scheduling / Billing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,449,9/15/2000,SF Active Customers Jul10,2026-07-13
Kaiser KPOC,Healthcare Provider,Healthcare Provider,2,RCM / Medical coding / Patient scheduling / Billing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,445,9/15/2000,SF Active Customers Jul10,2026-07-13
Kaiser MAS Clinical,Healthcare Provider,Healthcare Provider,2,RCM / Medical coding / Patient scheduling / Billing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,875,9/15/2000,SF Active Customers Jul10,2026-07-13
Kaiser MSCC,Healthcare Provider,Healthcare Provider,2,RCM / Medical coding / Patient scheduling / Billing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,3380,9/15/2000,SF Active Customers Jul10,2026-07-13
Kaiser NCal,Healthcare Provider,Healthcare Provider,2,RCM / Medical coding / Patient scheduling / Billing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,2568,9/15/2000,SF Active Customers Jul10,2026-07-13
Kaiser NW Clinical,Healthcare Provider,Healthcare Provider,2,RCM / Medical coding / Patient scheduling / Billing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,755,9/15/2000,SF Active Customers Jul10,2026-07-13
Kaiser Permanente (KPIT),Healthcare Provider,Healthcare Provider,2,RCM / Medical coding / Patient scheduling / Billing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,16633,9/15/2000,SF Active Customers Jul10,2026-07-13
Kaiser Pharmacy,Healthcare Provider,Healthcare Provider,2,RCM / Medical coding / Patient scheduling / Billing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,975,9/15/2000,SF Active Customers Jul10,2026-07-13
